11 994 6 0,223861342354125 0,002001 7,6457089 952 29 4 0 6 2 0 0 0 1	
13 970 30 0,635234945773195 0,002001 14,1416032 890 50 6 3 6 8 2 3 1 1	
15 903 97 1,31487975924696 0,0040027 18,6499232 775 59 26 8 14 12 4 3 1 1	
15 891 109 1,6830425345679 0,0080055 21,9052117 737 75 35 16 11 9 6 1 0 1	
17 796 204 10,1373621855528 0,0310208 103,3982075 506 224 36 14 8 3 2 0 2 1	
19 657 343 47,9807638707763 0,3124963 159,1456347 116 170 142 100 43 32 21 17 15 1	
21 506 494 80,8742181523716 0,0781241 249,0026751 113 74 94 95 48 19 39 14 9 1	
25 292 708 39,4515267626712 0,1249986 314,5213871 176 58 39 11 4 2 0 1 0 1	
31 76 924 46,6192159947368 0,3281213 281,7165853 42 14 6 9 3 0 1 0 0 1	
35 49 951 97,6270195612245 0,312498 685,9504492 37 5 1 2 0 0 0 2 1 1	
